id,collection,dc.contributor.author,dc.date.issued,dc.description[en],dc.format.extent,dc.format.mimetype,dc.identifier.citation[en],dc.identifier.uri,dc.language.iso[en],dc.publisher[en],dc.relation.ispartofseries,dc.relation.ispartofseries[en],dc.rights[en],dc.subject[en],dc.title[en],dc.type[en]
"28563","2451/28115","Bagnall, Roger S.","1997",,"467513 bytes","application/pdf","Roger S. Bagnall, ""For the Visit of My Father Sarapion: CPR VIII 52,"" Tyche 12 (1997) 245-46","http://hdl.handle.net/2451/28236","en_US","Tyche",,"D140",,"Papyrology||Egypt","For the Visit of My Father Sarapion: CPR VIII 52","Article"
"28560","2451/28115","Bagnall, Roger S.||Palme, Bernhard","1996",,"2561525 bytes","application/pdf","Roger S. Bagnall and Bernhard Palme, Franks in Sixth-century Egypt, Tyche 11 (1996) 1-10","http://hdl.handle.net/2451/28233","en_US","Tyche",,"D134",,"Papyrology||Byzantine Egypt","Franks in Sixth-century Egypt","Article"
"28561","2451/28115","Bagnall, Roger S.","1996",,"1417690 bytes","application/pdf","Roger S. Bagnall, ""The Painted Garden of Coptos,"" Cd'E 71 (1996) 145-52","http://hdl.handle.net/2451/28234","en_US","Chronique d’Égypte",,"D135",,"Epigraphy||Roman Egypt","The Painted Garden of Coptos","Article"
"28562","2451/28115","Bagnall, Roger S.||Manning, Joseph G.||Sidebotham, Steven E.||Zitterkopf, Ronald E.","1996",,"2368178 bytes","application/pdf","Roger S. Bagnall, J. Manning, S. Sidebotham, and R. Zitterkopf, ""A Ptolemaic Inscription from Bir 'Iayyan,"" Cd'E 71 (1996) 317-30","http://hdl.handle.net/2451/28235","en_US","Chronique d’Égypte",,"D136",,"Epigraphy||Hellenistic Egypt","A Ptolemaic Inscription from Bir 'Iayyan","Article"
"28564","2451/28115","Bagnall, Roger S.","1997",,"795065 bytes","application/pdf","Roger S. Bagnall, ""A Mandate from the Great Oasis,"" ZPE 116 (1997) 149-51","http://hdl.handle.net/2451/28237","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D141",,"Papyrology||Roman Egypt","A Mandate from the Great Oasis","Article"
"28565","2451/28115","Bagnall, Roger S.","1997",,"1078176 bytes","application/pdf","Roger S. Bagnall, ""A Kinder, Gentler Roman Army?"" (extended review of R. Alston, Soldier and Society in Roman Egypt), JRA 10 (1997) 504-12","http://hdl.handle.net/2451/28238","en_US","Journal of Roman Archaeology",,"D142",,"Roman Army||Roman Egypt","A Kinder, Gentler Roman Army?","Article"
"28566","2451/28115","Bagnall, Roger S.","1997",,"535978 bytes","application/pdf","Roger S. Bagnall, ""O.Waqfa 79,"" Tyche 12 (1997) 246-47","http://hdl.handle.net/2451/28239","en_US","Tyche",,"D143",,"Epigraphy||ostrakon","O.Waqfa 79","Article"
"28570","2451/28115","Bagnall, Roger S.","1997",,"125034 bytes","application/pdf",,"http://hdl.handle.net/2451/28242","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D146",,"Papyrology||Roman Egypt","A New Arsinoite Strategos?","Article"
"28567","2451/28115","Bagnall, Roger S.","1997",,"541356 bytes","application/pdf","Roger S. Bagnall, ""O.Waqfa 66,"" Tyche 12 (1997) 247-48","http://hdl.handle.net/2451/28240","en_US","Tyche",,"D144",,"Epigraphy||ostrakon","O.Waqfa 66","Article"
"28568","2451/28115","Bagnall, Roger S.","1997",,"212087 bytes","application/pdf","Roger S. Bagnall, ""Imaging of Papyri: A Strategic View,"" Literary and Linguistic Computing 12 (1997) 153-54","http://hdl.handle.net/2451/28241","en_US","Literary and Linguistic Computing, Oxford University Press",,"d145",,"Papyrology||Advanced Papyrological Information System (APIS)||Methodology","Imaging of Papyri: A Strategic View","Article"
"28574","2451/28115","Bagnall, Roger S.","1998",,"934055 bytes","application/pdf","Roger S. Bagnall, ""Papyrus and Preservation,"" Classical World 91 (1998) 543-52","http://hdl.handle.net/2451/28246","en_US","Classical World",,"D150",,"Papyrology||Conservation","Papyrus and Preservation","Article"
"28571","2451/28115","Bagnall, Roger S.","1997",,"585371 bytes","application/pdf","Roger S. Bagnall, ""Two Linguistic Notes on Ostraka from Mons Claudianus,"" Cd'E 72 (1997) 341-44","http://hdl.handle.net/2451/28243","en_US","Chronique d’Égypte",,"D147",,"Epigraphy||Egypt","Two Linguistic Notes on Ostraka from Mons Claudianus","Article"
"28573","2451/28115","Bagnall, Roger S.||Worp, K. A.||Thanheiser, Ursula","1998",,"972433 bytes","application/pdf","Roger S. Bagnall, Ursula Thanheiser, and K. A. Worp, ""Tiphagion,"" ZPE 122 (1998) 173-88","http://hdl.handle.net/2451/28245","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D149",,"Roman Egypt","Tiphagion","Article"
"28572","2451/28115","Bagnall, Roger S.","1998",,"1469955 bytes","application/pdf","Roger S. Bagnall, ""Cults and Names of Ptolemais in Upper Egypt,"" Egyptian Religion: The Last Thousand Years (Studies Dedicated to the Memory of Jan Quaegebeur) (Orientalia Lovanensia Analecta 85, Leuven 1998) II 1093-1101","http://hdl.handle.net/2451/28244","en_US","Orientalia Lovanensia Analecta Peeters",,"d148",,"Hellenistic Egypt","Cults and Names of Ptolemais in Upper Egypt","Article"
"28575","2451/28115","Bagnall, Roger S.","1999",,"317754 bytes","application/pdf","Roger S. Bagnall, ""Charles Bradford Welles,"" American National Biography 23 (New York 1999) 4-5","http://hdl.handle.net/2451/28247","en_US","American National Biography",,"D151",,"Biography||Papyrology","Charles Bradford Welles","Article"
"28576","2451/28115","Bagnall, Roger S.","1999",,"1962777 bytes","application/pdf","Roger S. Bagnall, ""Greek Papyri and Coptic Studies, 1990-1995,"" Ägypten und Nubien in spätantiker und christlicher Zeit 2. Schrifttum, Sprache und Gedankenwelt (Wiesbaden 1999) 219-30","http://hdl.handle.net/2451/28248","en_US","Reichert Verlag Wiesbaden",,"D152",,"Papyrology||Coptic Studies","Greek Papyri and Coptic Studies, 1990-1995","Article"
"28580","2451/28115","Bagnall, Roger S.","2000",,"836762 bytes","application/pdf","Roger S. Bagnall, ""Jesus Reads a Book,"" Journal of Theological Studies n.s. 51 (2000) 577-88","http://hdl.handle.net/2451/28252","en_US","Journal of Theological Studies",,"D158",,"Papyrology||New Testament","Jesus Reads a Book","Article"
"28583","2451/28115","Bagnall, Roger S.","2000",,"468146 bytes","application/pdf","Roger S. Bagnall, ""P.Oxy. 4527 and the Antonine Plague in Egypt: Death or Flight?"" JRA 13 (2000) 288-92","http://hdl.handle.net/2451/28255","en_US","Journal of Roman Archaeology",,"D161",,"Papyrology||Roman Egypt","P.Oxy. 4527 and the Antonine Plague in Egypt: Death or Flight?","Article"
"28442","2451/28115","Bagnall, Roger S.","2005",,"125543 bytes","application/pdf","Roger S. Bagnall, ""Naphtali Lewis (1911-2005),"" BASP 43 (2006) 5-8","http://hdl.handle.net/2451/28121","en","Bulletin of the American Society of Papyrologists",,"D200",,"Naphtali Lewis||papyrology","Naphtali Lewis (1911-2005)","Article"
"28577","2451/28115","Bagnall, Roger S.","1999",,"461234 bytes","application/pdf","Roger S. Bagnall, ""Lender, Borrower, and Banker in P.Yale I 65,"" BASP 36 (1999) 45-52","http://hdl.handle.net/2451/28249","en_US","Bulletin of the American Society of Papyrologists",,"D153",,"Papyrology||Roman Egypt","Lender, Borrower, and Banker in P.Yale I 65","Article"
"28582","2451/28115","Bagnall, Roger S.","2000",,"410045 bytes","application/pdf","Roger S. Bagnall, ""Vegetable Seed Oil is Sesame Oil,"" Chronique d'Égypte 75 (2000) 133-35","http://hdl.handle.net/2451/28254","en_US","Chronique d’Égypte",,"D160",,"Epigraphy||Roman Egypt","Vegetable Seed Oil is Sesame Oil","Article"
"28445","2451/28115","Bagnall, Roger S.","1979",,"4758260 bytes","application/pdf","Roger S. Bagnall, ""Some Notes on P.Hib. 198,"" BASP 6 (1979) 73-118","http://hdl.handle.net/2451/28122","en_US","Bulletin of the American Society of Papyrologists",,"D4",,"Papyrology","Some Notes on P.Hib. 198","Article"
"28578","2451/28115","Bagnall, Roger S.","1999",,"536835 bytes","application/pdf","Roger S. Bagnall, &quot;Eirene to Epaphrys: P.Yale I 77 revised,&quot;
Cd'E 74 (1999) 109-117","http://hdl.handle.net/2451/28250","en_US","Chronique d&rsquo;&Eacute;gypte",,"D154",,"Papyrology||Roman Egypt","Eirene to Epaphrys: P.Yale I 77 revised","Article"
"28451","2451/28115","Bagnall, Roger S.","1971",,"1009011 bytes","application/pdf","Roger S. Bagnall, ""The Ptolemaic Trierarchs,"" Cd'E 46 (1971) 356-62","http://hdl.handle.net/2451/28127","en_US","Chronique d’Égypte",,"D6",,"Papyrology||Egypt","The Ptolemaic Trierarchs","Article"
"28452","2451/28115","Bagnall, Roger S.","1972",,"1541456 bytes","application/pdf","Roger S. Bagnall, ""Theogenes the Dioiketes,"" AncSoc 3 (1972) 111-19","http://hdl.handle.net/2451/28128","en_US","Ancient Society",,"D7",,"Egypt","Theogenes the Dioiketes","Article"
"28586","2451/28115","Bagnall, Roger S.||Bülow-Jacobsen, A.||Cuvigny, H.","2001",,"1547158 bytes","application/pdf","Roger S. Bagnall, A. Bülow-Jacobsen, and H. Cuvigny, ""Security and Water on Egypt's Desert Roads: New Light on the Prefect Iulius Ursus and Praesidia-building under Vespasian,"" JRA 14 (2001) 325-333","http://hdl.handle.net/2451/28258","en_US","Journal of Roman Archaeology",,"D165",,"Papyrology||Roman Egypt","Security and Water on Egypt's Desert Roads: New Light on the Prefect Iulius Ursus and Praesidia-building under Vespasian","Article"
"28446","2451/28115","Bagnall, Roger S.","1968",,"743925 bytes","application/pdf","Roger S. Bagnall, ""An Order for Nails,"" BASP 5 (1968) 99-104","http://hdl.handle.net/2451/28123","en_US","Bulletin of the American Society of Papyrologists",,"D1",,"Papyrology||Egypt","An Order for Nails",
"28579","2451/28115","Bagnall, Roger S.","1999",,"729527 bytes","application/pdf","Roger S. Bagnall, ""The Date of P.Kell. I G. 62 and the Meaning of Chorion, Chronique d'Égypte 74 (1999) 329-33","http://hdl.handle.net/2451/28251",,"Chronique d’Égypte",,"D156",,"Papyrology||Roman Egypt","The Date of P.Kell. I G. 62 and the meaning of Chorion","Article"
"28450","2451/28115","Bagnall, Roger S.","1968",,"2166343 bytes","application/pdf","Roger S. Bagnall, ""Three Papyri from Oxyrhynchus,"" BASP 5 (1968) 135-50","http://hdl.handle.net/2451/28126","en_US","Bulletin of the American Society of Papyrologists",,"D2",,"Papyrology||Oxyrhynchus","Three Papyri from Oxyrhynchus","Article"
"28453","2451/28115","Bagnall, Roger S.","1973",,"813214 bytes","application/pdf","D9. ""Three Notes on Ptolemaic Inscriptions,"" ZPE 11 (1973) 121-27","http://hdl.handle.net/2451/28129","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D9",,"Epigraphy||Egypt","Three Notes on Ptolemaic Inscriptions","Article"
"28454","2451/28115","Bagnall, Roger S.","1973",,"3238943 bytes","application/pdf","Roger S. Bagnall and Thomas Drew-Bear, ""Documents from Kourion: A Review Article I,"" Phoenix 27 (1973) 99-117","http://hdl.handle.net/2451/28130","en_US","Phoenix; The CLassical Association of Canada",,"D10",,"Epigraphy||Cyprus","Documents from Kourion: A Review Article I","Article"
"28581","2451/28115","Bagnall, Roger S.||Rives, James B","2000",,"2975528 bytes","application/pdf","Roger S. Bagnall and James B. Rives, ""A Prefect's Edict Mentioning Sacrifice ,"" Archiv für Religionsgeschichte 2 (2000) 77-86 + 2 plates","http://hdl.handle.net/2451/28253","en_US","Archiv für Religionsgeschichte",,"D159",,"Papyrology||Roman Egypt","A Prefect's Edict Mentioning Sacrifice","Article"
"28584","2451/28115","Bagnall, Roger S.||Worp, K. A.","2000",,"1126190 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, &quot;Tetrachryson,&quot; Tyche 15
(2000) 3-6","http://hdl.handle.net/2451/28256","en_US","Tyche",,"D162",,"Papyrology||Egypt, late antiquity","Tetrachryson","Article"
"28455","2451/28115","Bagnall, Roger S.","1973",,"2484908 bytes","application/pdf","Roger S. Bagnall and Thomas Drew-Bear, ""Documents from Kourion: A Review Article II,"" Phoenix 27 (1973) 213-44","http://hdl.handle.net/2451/28131","en_US","Phoenix; The CLassical Association of Canada",,"D10a",,"Epigraphy||Cyprus","Documents from Kourion: A Review Article II","Article"
"28585","2451/28115","Bagnall, Roger S.","2001",,"539594 bytes","application/pdf","Roger S. Bagnall, ""A Heavy Artaba and its Ninety-six Loaves,"" in Alexandrian Studies II, in Honour of Mostafa El Abbadi (Bulletin de la Société d'Archéologie d'Alexandrie 46, Alexandria 2001) 7-11","http://hdl.handle.net/2451/28257","en_US","Bulletin de la Société d'Archéologie d'Alexandrie",,"D164",,"Epigraphy||Roman Egypt","A Heavy Artaba and its Ninety-six Loaves","Article"
"28457","2451/28115","Bagnall, Roger S.","1975",,"1654681 bytes","application/pdf","Roger S. Bagnall and R. Bogaert, ""Orders for Payment from a Banker's Archive: Papyri in the Collection of Florida State University,"" AncSoc 6 (1975) 79-108","http://hdl.handle.net/2451/28133","en_US","Ancient Society",,"D15",,"Papyrology||Egypt","Orders for Payment from a Banker's Archive: Papyri in the Collection of Florida State University","Article"
"28456","2451/28115","Bagnall, Roger S.","1974",,"430046 bytes","application/pdf","Roger S. Bagnall, ""The Toparch Leon and his Archive,"" GRBS 15 (1974) 215-20","http://hdl.handle.net/2451/28132","en_US","Greek, Roman, and Byzantine Studies",,"D12",,"Papyrology||Egypt","The Toparch Leon and his Archive","Article"
"28587","2451/28115","Bagnall, Roger S.","2001",,"2581697 bytes","application/pdf","Roger S. Bagnall, ""Archaeological Work on Hellenistic and Roman Egypt, 1995-2000,"" AJA 105 (2001)","http://hdl.handle.net/2451/28259","en_US","American Journal of Archaeology",,"D166",,"Hellenistic Egypt||Roman Egypt","Archaeological Work on Hellenistic and Roman Egypt, 1995-2000","Article"
"28458","2451/28115","Bagnall, Roger S.","1975",,"1557673 bytes","application/pdf","Roger S. Bagnall, ""The Roman Garrison of Latopolis,"" BASP 12 (1975) 134-44","http://hdl.handle.net/2451/28134","en_US","Bulletin of the American Society of Papyrologists",,"D16",,"Roman Army||Egypt","The Roman Garrison of Latopolis","Article"
"28588","2451/28115","Bagnall, Roger S.","2001",,"1497416 bytes","application/pdf","Roger S. Bagnall, ""Les lettres privées des femmes : un choix de langue en Égypte byzantine,"" Bulletin de la Classe des Lettres de l'Académie Royale de Belgique 6 ser. 12 (2001) 133-153","http://hdl.handle.net/2451/28260","fr","Bulletin de la Classe des Lettres de l'Académie Royale de Belgique",,"D168",,"Papyrology||Byzantine Egypt","Les lettres privées des femmes : un choix de langue en Égypte byzantine","Article"
"28460","2451/28115","Bagnall, Roger S.||Worp, K. A.","1977",,"497688 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, D23. ""Commodity Prices in P.Stras. 595,"" ZPE 27 (1977) 161-64","http://hdl.handle.net/2451/28136","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D23",,"Papyrology||Egypt||Late antiquity","Commodity Prices in P.Stras. 595","Article"
"28459","2451/28115","Bagnall, Roger S.||Sijpesteijn, P. J.","1977",,"1096817 bytes","application/pdf","Roger S. Bagnall and P. J. Sijpesteijn, ""Currency in the Fourth Century and the Date of CPR V 26,"" ZPE 24 (1977) 111-24","http://hdl.handle.net/2451/28135","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D19",,"Papyrology||Egypt||Late antiquity","Currency in the Fourth Century and the Date of CPR V 26","Article"
"28590","2451/28115","Bagnall, Roger S.","2001",,"1192628 bytes","application/pdf","Roger S. Bagnall, ""Monks and Property: Rhetoric, Law and Patronage in the Apophthegmata Patrum and the Papyri,"" GRBS 42 (2001) 7-24","http://hdl.handle.net/2451/28261","en_US","Greek, Roman, and Byzantine Studies",,"D170",,"Papyrology||Egypt, late antiquity","Monks and Property: Rhetoric, Law and Patronage in the Apophthegmata Patrum and the Papyri","Article"
"28600","2451/28115","Bagnall, Roger S.","2003-01-01",,"556641 bytes","application/pdf","Roger S. Bagnall, ""A Vineyard in the Small Oasis:What Was the Dispute About?"" JJurPap 33 (2003) 17-25","http://hdl.handle.net/2451/28271","en_US","Journal of Juristic Papyrology",,"D183",,"Papyrology||Egypt, late antiquity","A Vineyard in the Small Oasis:What Was the Dispute About?","Article"
"28461","2451/28115","Bagnall, Roger S.","1977",,"2069396 bytes","application/pdf","Roger S. Bagnall, ""Army and Police in Roman Upper Egypt,"" JARCE 14 (1977) 67-86","http://hdl.handle.net/2451/28137","en_US","The Journal of the American Research Center in Egypt (JARCE)",,"D24",,"Roman Army||Egypt","Army and Police in Roman Upper Egypt","Article"
"28591","2451/28115","Bagnall, Roger S.","2002",,"1152264 bytes","application/pdf","Roger S. Bagnall, ""Public Administration and the Documentation of Roman Panopolis,"" in Perspectives on Panopolis, ed. A. Egberts, B.P. Muhs and J. van der Vliet (Pap.Lugd.Bat. 31, Leiden 2002) 1-12","http://hdl.handle.net/2451/28262","en_US","Brill, Leiden",,"D171",,"Papyrology||Roman Egypt","Public Administration and the Documentation of Roman Panopolis","Article"
"28601","2451/28115","Bagnall, Roger S.||Dickey, E.","2004",,"256257 bytes","application/pdf","Roger S. Bagnall and E. Dickey, ""SB XII 11273: No Vocative,"" ZPE 146 (2004) 170-172","http://hdl.handle.net/2451/28272","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D184",,"Papyrology","SB XII 11273: No Vocative","Article"
"28462","2451/28115","Bagnall, Roger S.","1977",,"2200396 bytes","application/pdf","Roger S. Bagnall, ""Bullion Purchases and Landholding in the Fourth Century,"" Cd'E 52 (1977) 322-36","http://hdl.handle.net/2451/28138","en_US","Chronique d’Égypte",,"D26",,"Papyrology||Egypt","Bullion Purchases and Landholding in the Fourth Century","Article"
"28592","2451/28115","Bagnall, Roger S.","2002",,"1253444 bytes","application/pdf","Roger S. Bagnall, ""Alexandria: Library of Dreams,"" Proceedings of the American Philosophical Society 146 (2002) 348-362","http://hdl.handle.net/2451/28263","en_US","Proceedings of the American Philosophical Society",,"D172",,"Library of Alexandria","Alexandria: Library of Dreams","Article"
"28463","2451/28115","Bagnall, Roger S.||Worp, K. A.","1978",,"1379553 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, ""Ten Consular Dates,"" ZPE 28 (1978) 221-30","http://hdl.handle.net/2451/28139","en_US","Zeitschrift für Papyrologie und Epigraphik","D28",,,"Papyrology||Egypt||Late antiquity","Ten Consular Dates","Article"
"28593","2451/28115","Bagnall, Roger S.","2002",,"552491 bytes","application/pdf","Roger S. Bagnall, ""The Effects of Plague: Model and Evidence,"" JRA 15 (2002) 114-120","http://hdl.handle.net/2451/28264","en_US","Journal of Roman Archaeology",,"D173",,"Papyrology||Roman Egypt","The Effects of Plague: Model and Evidence","Article"
"28466","2451/28115","Bagnall, Roger S.","1978",,"440788 bytes","application/pdf","Roger S. Bagnall, ""Property-holdings of Liturgists in Fourth-century Karanis,"" BASP 15 (1978) 9-16","http://hdl.handle.net/2451/28141","en_US","Bulletin of the American Society of Papyrologists",,"D30",,"Papyrology||Egypt, late antiquity","Property-holdings of Liturgists in Fourth-century Karanis","Article"
"28464","2451/28115","Bagnall, Roger S.||Worp, K. A.","1978",,"806956 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, ""P.Erl. 52 B Recto: A Reedition,"" ZPE 28 (1978) 231-37","http://hdl.handle.net/2451/28140","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D29",,"Papyrology||Egypt","P.Erl. 52 B Recto: A Reedition","Article"
"28594","2451/28115","Bagnall, Roger S.||Worp, K. A.||Tait, W. J.","2003-01-01",,"203085 bytes","application/pdf","Roger S. Bagnall, W. J. Tait, and K. A. Worp,  ""An Inscribed Pedestal from the Temple of Tutus,"" Dakhleh Oasis Project: Preliminary Reports on the 1994-1995 to 1998-1999 Field Seasons, ed. C.A. Hope and G.E. Bowen (DOP Monograph 11, Oxford 2003) 49-51","http://hdl.handle.net/2451/28265","en_US","Oxbow, Oxford",,"D174",,"Epigraphy||Egypt","An Inscribed Pedestal from the Temple of Tutus","Article"
